"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Books API","Update Book","Update Existing Book","0","0","1","0","0"
"Books API","Update Book","Empty Required Fields","0","0","1","0","0"
"Authors API","Update Author","Empty Payload","0","0","1","0","0"
"Authors API","Delete Author","Invalid Path Parameter","0","0","1","0","0"
"Authors API","Get Author","Retrieve Author by Valid ID","0","0","1","0","0"
"Books API","Get Books","Retrieve All Books","0","0","1","0","0"
"Authors API","Update Author","Invalid Data Types","0","0","1","0","0"
"Authors API","Create Author","Empty Payload","0","0","1","0","0"
"Authors API","Create Author","Empty Required Fields","0","0","1","0","0"
"Books API","Create Book","Empty Required Fields","0","0","1","0","0"
"Books API","Create Book","Create New Book with Valid Data","0","0","1","0","0"
"Books API","Get Book","Retrieve Book by Valid ID","0","0","1","0","0"
"Authors API","Update Author","Update Existing Author","0","0","1","0","0"
"Authors API","Create Author","Invalid Data Types","0","0","1","0","0"
"Authors API","Update Author","Empty Required Fields","0","0","1","0","0"
"Books API","Create Book","Empty Payload","0","0","1","0","0"
"Books API","Delete Book","Delete Book with Valid ID","0","0","1","0","0"
"Authors API","Get Authors","Retrieve All Authors","0","0","1","0","0"
"Authors API","Get Author","Non-Existent ID","0","0","1","0","0"
"Authors API","Delete Author","Delete Author with Valid ID","0","0","1","0","0"
"Authors API","Create Author","Create New Author with Valid Data","0","0","1","0","0"
"Books API","Delete Book","Invalid Path Parameter","0","0","1","0","0"
"Books API","Get Book","Non-Existent ID","0","0","1","0","0"
"Books API","Update Book","Invalid Data Types","0","0","1","0","0"
"Books API","Create Book","Invalid Data Types","0","0","1","0","0"
"Books API","Update Book","Empty Payload","0","0","1","0","0"
